cell,aggregator,experiment,client_id,client_name,client_prevalence,n_seeds,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std
gateonly:E2_free_rider,gateonly,E2_free_rider,2,client2_cardiac,0.06914,10,0.911314,0.009864,0.610284,0.051857,0.552362,0.037322
gateonly:E4_attack_straggler,gateonly,E4_attack_straggler,0,client0_medical,0.16113,10,0.934688,0.000467,0.801615,0.000754,0.672791,0.003873
gateonly:E4_attack_straggler,gateonly,E4_attack_straggler,1,client1_surgical,0.11502,10,0.967723,0.000666,0.864216,0.00113,0.708804,0.008037
gateonly:E4_attack_straggler,gateonly,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.968564,0.000569,0.807671,0.001361,0.630773,0.013532
gateonly:E6_honest_straggler,gateonly,E6_honest_straggler,0,client0_medical,0.16113,10,0.952004,0.000395,0.844755,0.000691,0.683164,0.007122
gateonly:E6_honest_straggler,gateonly,E6_honest_straggler,1,client1_surgical,0.11502,10,0.968037,0.000381,0.864783,0.001515,0.71009,0.01001
gateonly:E6_honest_straggler,gateonly,E6_honest_straggler,2,client2_cardiac,0.06914,10,0.977395,0.000551,0.833178,0.001445,0.653055,0.009686
deltadet:E1_gradient_scaling,deltadet,E1_gradient_scaling,0,client0_medical,0.16113,10,0.93509,0.00055,0.802166,0.000732,0.672886,0.003921
deltadet:E1_gradient_scaling,deltadet,E1_gradient_scaling,1,client1_surgical,0.11502,10,0.967437,0.000645,0.863109,0.001122,0.708818,0.007824
deltadet:E1_gradient_scaling,deltadet,E1_gradient_scaling,2,client2_cardiac,0.06914,10,0.971002,0.000457,0.816122,0.001432,0.637748,0.011396
deltadet:E2_free_rider,deltadet,E2_free_rider,0,client0_medical,0.16113,10,0.779359,0.014947,0.405186,0.021719,0.314355,0.048442
deltadet:E2_free_rider,deltadet,E2_free_rider,1,client1_surgical,0.11502,10,0.827357,0.014228,0.414078,0.042642,0.362053,0.057381
deltadet:E2_free_rider,deltadet,E2_free_rider,2,client2_cardiac,0.06914,10,0.835576,0.017998,0.347804,0.03764,0.321799,0.055556
deltadet:E4_attack_straggler,deltadet,E4_attack_straggler,0,client0_medical,0.16113,10,0.93424,0.000366,0.800901,0.000622,0.671426,0.004116
deltadet:E4_attack_straggler,deltadet,E4_attack_straggler,1,client1_surgical,0.11502,10,0.967473,0.000707,0.863633,0.001183,0.710932,0.008615
deltadet:E4_attack_straggler,deltadet,E4_attack_straggler,2,client2_cardiac,0.06914,10,0.968388,0.000634,0.807384,0.001426,0.632215,0.013327
