sweep_id,experiment,beta,gamma,threshold_flag,threshold_quarantine,clip_ratio,mean_auroc_r8_10,detection_rate,false_positive_rate,round1_auroc_drop
sweep2_thresholds,E4,0.35,0.65,0.22,0.425,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.45,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.475,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.22,0.5,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.25,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.275,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.3,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.325,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.35,2.0,0.957467,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.375,2.0,0.955967,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.4,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.425,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.45,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.475,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.24,0.5,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.275,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.3,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.325,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.35,2.0,0.957467,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.375,2.0,0.955967,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.4,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.425,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.45,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.475,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.26,0.5,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.3,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.325,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.35,2.0,0.957467,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.375,2.0,0.955967,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.4,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.425,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.45,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.475,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.28,0.5,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.3,0.325,2.0,0.957833,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.3,0.35,2.0,0.957467,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.3,0.375,2.0,0.955967,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.3,0.4,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.3,0.425,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.3,0.45,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.3,0.475,2.0,0.955733,1.0,0.0,0.008
sweep2_thresholds,E4,0.35,0.65,0.3,0.5,2.0,0.955733,1.0,0.0,0.008
sweep3_clip_ratio,E1,0.35,0.65,0.22,0.35,1.5,0.959967,1.0,0.0,0.0071
sweep3_clip_ratio,E1,0.35,0.65,0.22,0.35,2.0,0.959433,1.0,0.0,0.0071
sweep3_clip_ratio,E1,0.35,0.65,0.22,0.35,2.5,0.959033,1.0,0.0,0.0071
sweep3_clip_ratio,E1,0.35,0.65,0.22,0.35,3.0,0.9588,1.0,0.0,0.0071
sweep3_clip_ratio,E1,0.35,0.65,0.22,0.35,3.5,0.9582,1.0,0.0,0.0071
sweep3_clip_ratio,E1,0.35,0.65,0.22,0.35,4.0,0.958133,1.0,0.0,0.0071
